,mean,std,count,type
weight_loss,0.18544625557792238,0.2904001160464126,1167,benefit
glucose_control,0.30414887224848075,0.31378477847358655,1002,benefit
appetite_suppression,0.3607627113362407,0.2649160238150443,306,benefit
health_improvement,0.21763628794398596,0.375406052044486,553,benefit
confidence,0.7352370697651409,0.049426482106129134,133,benefit
nausea,-0.0938095411351044,0.3331700183064762,621,side_effect
diarrhea,-0.19449055596796955,0.24701851255156598,210,side_effect
constipation,-0.35286011671193873,0.2666008923627888,367,side_effect
fatigue,-0.014692260849703306,0.33381380924602155,195,side_effect
reflux,-0.16597441294637322,0.29468873390693817,139,side_effect
